"Story","Title","Result","Date","Stability","Duration (s)"
"Post Guru","Delete guru with expired token","FAILURE","2023-02-03T20:56:16.22+07:00[Asia/Jakarta]","0.0","6.74"
"Post Guru","Delete guru without token","FAILURE","2023-02-03T20:56:22.989+07:00[Asia/Jakarta]","0.0","17.2"
"Get Single Guru","Get single data guru with unregister id","FAILURE","2023-02-03T20:56:51.516+07:00[Asia/Jakarta]","0.0","1.81"
"Get Single Guru","Get single data guru with special char as id","FAILURE","2023-02-03T20:56:53.342+07:00[Asia/Jakarta]","0.0","3.07"
"Post Guru","Add guru with invalid json","FAILURE","2023-02-03T20:56:58.451+07:00[Asia/Jakarta]","0.0","3.66"
"Put Guru","Update guru with expired token and valid form-data","FAILURE","2023-02-03T20:57:08.585+07:00[Asia/Jakarta]","0.0","4.44"
"Put Guru","Update guru with expired token and invalid form-data","FAILURE","2023-02-03T20:57:13.054+07:00[Asia/Jakarta]","0.0","1.68"
"Put Guru","Update guru without token and valid form-data","FAILURE","2023-02-03T20:57:14.747+07:00[Asia/Jakarta]","0.0","3.89"
"Put Guru","Update guru without token and invalid form-data","FAILURE","2023-02-03T20:57:18.648+07:00[Asia/Jakarta]","0.0","3.22"
"Put Guru","Update guru with valid token and without form-data","FAILURE","2023-02-03T20:57:21.889+07:00[Asia/Jakarta]","0.0","8.5"
"Put Guru","Update guru with expired token and without form-data","FAILURE","2023-02-03T20:57:30.393+07:00[Asia/Jakarta]","0.0","3.09"
"Put Guru","Update guru without token and without form-data","FAILURE","2023-02-03T20:57:33.498+07:00[Asia/Jakarta]","0.0","1.92"
